Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Direct,2024041213,59,69,26,33.61,0.44,4.36,0.38,301
Direct,2024041323,59,65,32,88.8,0.54,4.82,0.49,313
Direct,2024041516,59,77,31,29.57,0.53,3.7,0.4,285
Direct,2024041520,59,86,31,66.87,0.53,4.09,0.36,352
Direct,2024041910,59,68,32,46.63,0.54,4.21,0.47,286
Direct,2024042122,59,75,35,54.84,0.59,4.2,0.47,315
Direct,2024042416,59,69,36,95.45,0.61,4.17,0.52,288
Direct,2024042620,59,70,36,51.06,0.61,5.14,0.51,360
Direct,2024042820,59,71,39,47.77,0.66,4.01,0.55,285
Direct,2024042822,59,76,27,43.39,0.46,4.05,0.36,308
Direct,2024043010,59,73,37,33.73,0.63,4.08,0.51,298
Direct,2024043017,59,68,28,38.94,0.47,5.37,0.41,365
Direct,2024050300,59,70,28,20.94,0.47,4.31,0.4,302
Direct,2024050319,59,77,28,40.6,0.47,4.73,0.36,364
Organic Search,2024041018,59,68,32,42.66,0.54,3.81,0.47,259
Organic Search,2024041421,59,71,35,50,0.59,4.31,0.49,306
Organic Search,2024041917,59,68,40,75.74,0.68,3.75,0.59,255
Organic Search,2024041918,59,68,45,37.24,0.76,4.06,0.66,276
Organic Search,2024042322,59,74,47,45.81,0.8,4.04,0.64,299
Organic Search,2024042423,59,71,44,24.52,0.75,3.69,0.62,262
Organic Search,2024042517,59,67,46,43.99,0.78,4.16,0.69,279
Organic Search,2024042921,59,78,35,39.1,0.59,3.64,0.45,284
Organic Search,2024050216,59,67,39,51.46,0.66,3.72,0.58,249
Organic Search,2024050220,59,69,40,34.35,0.68,4.84,0.58,334
Organic Social,2024041617,59,83,39,36.9,0.66,4.31,0.47,358
Organic Social,2024041707,59,77,36,41.27,0.61,4.31,0.47,332
Organic Social,2024042001,59,78,47,48.91,0.8,5.49,0.6,428
Referral,2024040814,59,66,47,55.67,0.8,5.79,0.71,382
Referral,2024041215,59,67,38,129.18,0.64,4.94,0.57,331
Referral,2024041713,59,72,39,84.88,0.66,5.21,0.54,375
Referral,2024042011,59,72,45,95.21,0.76,6.21,0.63,447
Referral,2024042215,59,65,42,76.38,0.71,4.62,0.65,300
Referral,2024042315,59,69,52,90.72,0.88,5.91,0.75,408
Referral,2024042320,59,65,47,102.26,0.8,7.58,0.72,493
Referral,2024042514,59,66,39,95.71,0.66,5.09,0.59,336
Referral,2024042712,59,64,53,78.73,0.9,6.55,0.83,419
Referral,2024042822,59,67,47,102.01,0.8,7.27,0.7,487
Referral,2024042912,59,66,48,100.59,0.81,5.59,0.73,369
Referral,2024043013,59,63,43,124.89,0.73,5.83,0.68,367
Direct,2024040823,58,66,28,49.83,0.48,4.24,0.42,280
Direct,2024041418,58,69,32,43.26,0.55,3.49,0.46,241
Direct,2024041812,58,71,37,62.38,0.64,5.23,0.52,371
Direct,2024041814,58,73,30,69.63,0.52,4.23,0.41,309
Direct,2024041911,58,77,29,23.52,0.5,3.53,0.38,272
Direct,2024041915,58,71,40,53.92,0.69,3.89,0.56,276
Direct,2024042516,58,74,34,55.49,0.59,4.51,0.46,334
Direct,2024042612,58,76,43,83.08,0.74,4,0.57,304
Direct,2024042914,58,81,37,53.8,0.64,4.07,0.46,330
Direct,2024042917,58,77,34,52.18,0.59,4.39,0.44,338
Direct,2024042920,58,73,40,41.89,0.69,4.29,0.55,313
Direct,2024043013,58,69,34,35.88,0.59,3.94,0.49,272
Direct,2024050212,58,70,33,66.33,0.57,3.9,0.47,273
Organic Search,2024040821,58,72,45,37.86,0.78,4.03,0.63,290
Organic Search,2024041011,58,68,44,51.65,0.76,3.59,0.65,244
Organic Search,2024041809,58,63,36,41.76,0.62,4.41,0.57,278
Organic Search,2024042216,58,68,39,55.29,0.67,4.37,0.57,297
Organic Search,2024042310,58,62,42,47,0.72,4.5,0.68,279
Organic Search,2024042513,58,67,36,46.67,0.62,4.52,0.54,303
Organic Search,2024042523,58,67,36,23.94,0.62,3.48,0.54,233
Organic Search,2024042612,58,64,44,50.95,0.76,3.53,0.69,226
Organic Search,2024042613,58,76,41,51.46,0.71,4.46,0.54,339
Organic Search,2024042919,58,64,39,34.98,0.67,3.78,0.61,242
Organic Search,2024043013,58,66,40,53.95,0.69,3.83,0.61,253
Organic Social,2024041101,58,86,40,62.34,0.69,4.8,0.47,413
Organic Social,2024041112,58,73,40,58.11,0.69,6.03,0.55,440
Organic Social,2024041311,58,75,47,49.55,0.81,5.04,0.63,378
Organic Social,2024041608,58,82,44,36.41,0.76,5.1,0.54,418
Organic Social,2024042009,58,75,37,31.47,0.64,4.75,0.49,356
Organic Social,2024042801,58,93,34,11.42,0.59,3.54,0.37,329
Referral,2024040815,58,64,34,101.02,0.59,5.03,0.53,322
Referral,2024040821,58,65,40,84.78,0.69,5.03,0.62,327
Referral,2024041020,58,64,50,101.86,0.86,7.05,0.78,451
Referral,2024041021,58,64,45,91.78,0.78,6.67,0.7,427
Referral,2024042210,58,66,45,71.7,0.78,5.24,0.68,346
Referral,2024042311,58,67,49,96.42,0.84,7.25,0.73,486
Referral,2024042316,58,76,39,39.49,0.67,4.83,0.51,367
Referral,2024042319,58,66,47,107.8,0.81,8,0.71,528
Referral,2024042518,58,63,45,127.17,0.78,7.33,0.71,462
Referral,2024050217,58,65,38,93.62,0.66,5.28,0.58,343
Referral,2024050317,58,64,39,92.39,0.67,5.75,0.61,368
Direct,2024040718,57,64,27,37.02,0.47,4.53,0.42,290
Direct,2024040720,57,71,32,38.51,0.56,4.14,0.45,294
Direct,2024040810,57,70,31,57.53,0.54,4.2,0.44,294
Direct,2024040818,57,72,30,48.31,0.53,3.92,0.42,282
Direct,2024040822,57,69,30,48.77,0.53,4.71,0.43,325
Direct,2024040921,57,72,34,42.88,0.6,3.39,0.47,244
Direct,2024041018,57,72,29,80.21,0.51,4.43,0.4,319
Direct,2024041122,57,66,40,44.88,0.7,3.41,0.61,225
Direct,2024041200,57,73,27,44.86,0.47,3.05,0.37,223
Direct,2024041512,57,70,30,26.74,0.53,3.7,0.43,259
Direct,2024041610,57,67,35,45.04,0.61,4.18,0.52,280
Direct,2024041914,57,78,33,65.03,0.58,3.95,0.42,308
Direct,2024042013,57,65,39,78.78,0.68,4.78,0.6,311
Direct,2024042613,57,69,41,51.54,0.72,4.26,0.59,294
Direct,2024043000,57,69,30,38.19,0.53,4.07,0.43,281
Direct,2024050313,57,64,30,17.84,0.53,4.14,0.47,265
Direct,2024050323,57,67,32,44.12,0.56,4.67,0.48,313
Organic Search,2024040718,57,70,37,28.17,0.65,3.57,0.53,250
Organic Search,2024040813,57,65,35,60.31,0.61,4.46,0.54,290
Organic Search,2024041215,57,65,35,38.06,0.61,3.2,0.54,208
Organic Search,2024041418,57,62,40,31.55,0.7,3.79,0.65,235
Organic Search,2024041517,57,68,40,61.18,0.7,4.72,0.59,321
Organic Search,2024041521,57,71,32,39.51,0.56,3.56,0.45,253
Organic Search,2024041914,57,72,34,39.51,0.6,3.63,0.47,261
Organic Search,2024042217,57,65,36,64.55,0.63,4.83,0.55,314
Organic Search,2024042221,57,68,37,65.94,0.65,4.62,0.54,314
Organic Search,2024042509,57,68,39,53.24,0.68,3.74,0.57,254
Organic Search,2024050217,57,63,34,30.35,0.6,3.75,0.54,236
Organic Search,2024050218,57,62,37,40.48,0.65,4.68,0.6,290
Organic Social,2024040900,57,85,43,51.74,0.75,5.09,0.51,433
Organic Social,2024042010,57,76,40,44.93,0.7,4.11,0.53,312
Organic Social,2024042013,57,70,43,41.41,0.75,4.47,0.61,313
Organic Social,2024042409,57,64,42,80.5,0.74,5.02,0.66,321
Organic Social,2024042701,57,72,43,28.31,0.75,5.25,0.6,378
Organic Social,2024042710,57,70,44,78.06,0.77,9.64,0.63,675
Organic Social,2024050209,57,76,38,68.71,0.67,4.17,0.5,317
Referral,2024041018,57,66,43,113.68,0.75,5.64,0.65,372
Referral,2024041222,57,67,46,84.12,0.81,7.31,0.69,490
Referral,2024041611,57,65,47,77.54,0.82,6.43,0.72,418
Referral,2024041717,57,63,41,121.1,0.72,5.87,0.65,370
Referral,2024041914,57,65,36,78.23,0.63,4.68,0.55,304
Referral,2024042421,57,65,46,74.29,0.81,5.45,0.71,354
Referral,2024042520,57,64,38,83.61,0.67,4.95,0.59,317
Referral,2024042913,57,66,43,78.11,0.75,4.88,0.65,322
Referral,2024042914,57,62,49,116.24,0.86,5.58,0.79,346
Referral,2024043010,57,67,44,66.58,0.77,4.93,0.66,330
Referral,2024043023,57,61,47,94.75,0.82,5.97,0.77,364
Direct,2024040914,56,64,34,101.3,0.61,3.72,0.53,238
Direct,2024041011,56,61,33,29.18,0.59,3.74,0.54,228
Direct,2024041021,56,74,31,59.86,0.55,3.65,0.42,270
Direct,2024041121,56,72,35,44.76,0.63,3.14,0.49,226
Direct,2024041209,56,62,25,31.98,0.45,3.66,0.4,227
Direct,2024041219,56,71,26,23.25,0.46,2.99,0.37,212
Direct,2024041321,56,71,44,41.44,0.79,4.93,0.62,350
Direct,2024041921,56,68,34,89.41,0.61,4.09,0.5,278
Direct,2024042317,56,65,37,47.08,0.66,5.23,0.57,340
Direct,2024042918,56,64,34,86.42,0.61,4.78,0.53,306
Organic Search,2024040915,56,65,47,32.92,0.84,4.15,0.72,270
Organic Search,2024041010,56,66,36,55.76,0.64,4.29,0.55,283
Organic Search,2024041210,56,66,38,30.82,0.68,3.8,0.58,251
Organic Search,2024041316,56,65,42,40.46,0.75,4.23,0.65,275
Organic Search,2024041319,56,62,38,32.76,0.68,3.87,0.61,240
Organic Search,2024041322,56,60,33,53.37,0.59,6.12,0.55,367
Organic Search,2024041511,56,64,36,56.97,0.64,5.28,0.56,338
Organic Search,2024042120,56,60,38,40.08,0.68,3.73,0.63,224
Organic Search,2024042418,56,63,43,53.17,0.77,4.76,0.68,300
Organic Search,2024042522,56,61,36,44.54,0.64,4.82,0.59,294
Organic Search,2024042611,56,61,44,105.62,0.79,4.48,0.72,273
Organic Search,2024042614,56,68,36,64.12,0.64,4.44,0.53,302
Organic Search,2024042619,56,62,44,68.61,0.79,6.98,0.71,433
Organic Search,2024050215,56,64,39,63.84,0.7,4.03,0.61,258
Organic Social,2024040617,56,67,34,47.25,0.61,4.76,0.51,319
Organic Social,2024040901,56,76,40,54.14,0.71,5.75,0.53,437
Organic Social,2024041703,56,71,33,40.13,0.59,4.51,0.46,320
Organic Social,2024042408,56,70,28,51.77,0.5,4.83,0.4,338
Organic Social,2024042708,56,64,40,42.91,0.71,5.09,0.63,326
Organic Social,2024042815,56,70,33,62.2,0.59,5.53,0.47,387
Referral,2024040823,56,65,36,42.86,0.64,4.6,0.55,299
Referral,2024041218,56,63,40,65.95,0.71,6.13,0.63,386
Referral,2024041221,56,69,35,38.62,0.63,4.2,0.51,290
Referral,2024042010,56,69,48,79.38,0.86,5.51,0.7,380
Referral,2024042510,56,63,43,98,0.77,6.44,0.68,406
Referral,2024042621,56,63,42,2187.21,0.75,5.92,0.67,373
Direct,2024040719,55,65,39,60.97,0.71,4.37,0.6,284
Direct,2024040816,55,65,35,53.58,0.64,3.68,0.54,239
Direct,2024041012,55,70,31,43.33,0.56,4.63,0.44,324
Direct,2024041420,55,65,28,40.75,0.51,3.94,0.43,256
Direct,2024041423,55,62,29,27.03,0.53,3.9,0.47,242
Direct,2024041614,55,67,45,67.31,0.82,5.22,0.67,350
Direct,2024041709,55,65,26,69.15,0.47,3.66,0.4,238
Direct,2024041810,55,76,32,45.62,0.58,4.08,0.42,310
Direct,2024042121,55,60,33,55.45,0.6,4.7,0.55,282
Direct,2024042310,55,69,38,52.03,0.69,4.71,0.55,325
Direct,2024042414,55,64,35,35.27,0.64,4.17,0.55,267
Direct,2024042619,55,66,34,34.47,0.62,4.67,0.52,308
Direct,2024043014,55,66,30,67.08,0.55,4.53,0.45,299
Direct,2024043023,55,68,23,21.93,0.42,3.82,0.34,260
Direct,2024050321,55,67,37,61.06,0.67,6.43,0.55,431
Organic Search,2024040810,55,67,46,54.57,0.84,4.04,0.69,271
Organic Search,2024041311,55,65,38,64,0.69,4.85,0.58,315
Organic Search,2024041413,55,63,39,57.86,0.71,4.97,0.62,313
Organic Search,2024041713,55,62,35,25.6,0.64,3.69,0.56,229
Organic Search,2024042014,55,65,35,27.91,0.64,3.77,0.54,245
Organic Search,2024042222,55,71,39,29.8,0.71,3.73,0.55,265
Organic Search,2024042311,55,63,37,33.17,0.67,4.49,0.59,283
Organic Search,2024042313,55,62,33,42.61,0.6,3.23,0.53,200
Organic Search,2024042422,55,62,38,83.45,0.69,5.87,0.61,364
Organic Search,2024042922,55,66,37,73.03,0.67,4.91,0.56,324
Organic Search,2024050114,55,57,44,41.72,0.8,4.54,0.77,259
Organic Social,2024040616,55,68,48,63.24,0.87,5.74,0.71,390
Organic Social,2024040817,55,81,34,33.93,0.62,3.85,0.42,312
Organic Social,2024041313,55,67,41,66.97,0.75,5.06,0.61,339
Organic Social,2024041403,55,73,33,46.05,0.6,4.19,0.45,306
Organic Social,2024041407,55,72,35,28.53,0.64,4.49,0.49,323
Organic Social,2024041801,55,79,40,44.62,0.73,4.97,0.51,393
Organic Social,2024041809,55,67,43,40.66,0.78,4.36,0.64,292
Organic Social,2024042115,55,69,33,36.17,0.6,4.58,0.48,316
Organic Social,2024042123,55,69,39,44.17,0.71,5.88,0.57,406
Organic Social,2024042908,55,64,37,35.02,0.67,5.09,0.58,326
Referral,2024040920,55,66,42,66.05,0.76,5.44,0.64,359
Referral,2024041015,55,68,43,54.19,0.78,5.56,0.63,378
Referral,2024041019,55,62,46,117.69,0.84,6.08,0.74,377
Referral,2024041312,55,61,44,98.8,0.8,8.8,0.72,537
Referral,2024041510,55,60,47,87.1,0.85,6.38,0.78,383
Referral,2024041513,55,64,45,112.94,0.82,4.94,0.7,316
Referral,2024041619,55,62,46,124.98,0.84,6.5,0.74,403
Referral,2024041823,55,62,40,63.82,0.73,5.18,0.65,321
Referral,2024042322,55,61,44,77.93,0.8,6.02,0.72,367
Referral,2024042916,55,60,43,89.57,0.78,6.52,0.72,391
Referral,2024042919,55,64,44,50.66,0.8,4.53,0.69,290
Referral,2024043018,55,62,41,28.15,0.75,4.21,0.66,261
Referral,2024050115,55,60,48,62.7,0.87,5.3,0.8,318
Referral,2024050309,55,59,38,43.1,0.69,4.85,0.64,286
Referral,2024050316,55,59,42,107.47,0.76,5.17,0.71,305
Direct,2024040717,54,68,26,30.21,0.48,4.15,0.38,282
Direct,2024040723,54,64,28,56.55,0.52,3.95,0.44,253
Direct,2024041417,54,67,27,45.93,0.5,4.15,0.4,278
Direct,2024041815,54,64,36,68.47,0.67,4.55,0.56,291
Direct,2024041917,54,67,30,27.91,0.56,3.57,0.45,239
Direct,2024042020,54,60,28,42.47,0.52,4.42,0.47,265
Direct,2024042212,54,66,36,40.74,0.67,3.74,0.55,247
Direct,2024042415,54,65,35,50.17,0.65,5.4,0.54,351
Direct,2024042421,54,68,35,46.65,0.65,4.79,0.51,326
Direct,2024042618,54,66,38,70.02,0.7,4.38,0.58,289
Direct,2024042910,54,63,30,46.6,0.56,4.65,0.48,293
Direct,2024050213,54,68,26,73.62,0.48,4.68,0.38,318
Organic Search,2024040822,54,66,39,69.88,0.72,4.53,0.59,299
Organic Search,2024041114,54,71,38,48.21,0.7,4.3,0.54,305
Organic Search,2024041211,54,62,37,50.52,0.69,3.95,0.6,245
Organic Search,2024041317,54,67,36,40.96,0.67,3.85,0.54,258
Organic Search,2024041318,54,64,35,44.55,0.65,3.88,0.55,248
Organic Search,2024041612,54,64,32,43.17,0.59,3.92,0.5,251
Organic Search,2024042413,54,65,40,51.09,0.74,4.85,0.62,315
Organic Search,2024042421,54,57,36,35.63,0.67,4.28,0.63,244
Organic Search,2024042615,54,58,38,194.48,0.7,4.03,0.66,234
Organic Search,2024042621,54,58,34,39.47,0.63,4.16,0.59,241
Organic Search,2024050116,54,62,29,42.13,0.54,4.44,0.47,275
Organic Search,2024050213,54,67,43,39.13,0.8,3.88,0.64,260
Organic Social,2024041023,54,70,30,54.13,0.56,4.8,0.43,336
Organic Social,2024042119,54,67,42,54.72,0.78,5.39,0.63,361
Organic Social,2024042120,54,62,36,47.53,0.67,4.76,0.58,295
Organic Social,2024042722,54,69,35,27.55,0.65,4.12,0.51,284
Organic Social,2024050303,54,64,42,67.91,0.78,5.59,0.66,358
Referral,2024040721,54,59,39,76.31,0.72,5.36,0.66,316
Referral,2024040914,54,57,43,172.58,0.8,7.46,0.75,425
Referral,2024041211,54,61,37,69.66,0.69,5.48,0.61,334
Referral,2024041721,54,68,43,87.44,0.8,5.82,0.63,396
Referral,2024042219,54,65,43,112.45,0.8,5.48,0.66,356
Referral,2024042911,54,63,43,94.94,0.8,5.97,0.68,376
Direct,2024040611,53,63,36,41.29,0.68,4.75,0.57,299
Direct,2024040813,53,63,34,38.83,0.64,4.11,0.54,259
Direct,2024041017,53,64,29,86.55,0.55,4.91,0.45,314
Direct,2024041208,53,64,28,44.25,0.53,4.16,0.44,266
Direct,2024041300,53,68,28,37.31,0.53,4.16,0.41,283
Direct,2024041311,53,63,34,60.35,0.64,4.81,0.54,303
Direct,2024041316,53,67,29,26.54,0.55,3.39,0.43,227
Direct,2024041400,53,73,36,30.19,0.68,3.85,0.49,281
Direct,2024041511,53,64,28,44.06,0.53,5.44,0.44,348
Direct,2024041615,53,68,38,31,0.72,4.38,0.56,298
Direct,2024041909,53,66,28,20.44,0.53,3.7,0.42,244
Direct,2024042219,53,64,29,39.44,0.55,4.17,0.45,267
Direct,2024042610,53,68,38,68.15,0.72,4.56,0.56,310
Direct,2024050216,53,65,34,39.63,0.64,4.03,0.52,262
Organic Search,2024041013,53,69,36,56.23,0.68,4.77,0.52,329
Organic Search,2024041014,53,63,38,30,0.72,3.43,0.6,216
Organic Search,2024041021,53,59,36,47.68,0.68,4.56,0.61,269
Organic Search,2024041112,53,59,34,71.83,0.64,3.69,0.58,218
Organic Search,2024041219,53,65,41,49.54,0.77,3.68,0.63,239
Organic Search,2024041221,53,63,35,37.24,0.66,3.44,0.56,217
Organic Search,2024041314,53,59,40,57.54,0.75,5,0.68,295
Organic Search,2024041610,53,64,39,74.8,0.74,5.11,0.61,327
Organic Search,2024041901,53,70,37,26.11,0.7,3.43,0.53,240
Organic Search,2024042710,53,57,33,33.3,0.62,4.19,0.58,239
Organic Social,2024041002,53,75,35,67.4,0.66,4.39,0.47,329
Organic Social,2024041622,53,60,38,60.37,0.72,5.52,0.63,331
Organic Social,2024041723,53,59,41,63.58,0.77,7.54,0.69,445
Organic Social,2024041908,53,67,30,35.39,0.57,4.18,0.45,280
Organic Social,2024042209,53,74,36,50.45,0.68,5.01,0.49,371
Referral,2024040723,53,61,40,71.43,0.75,5.07,0.66,309
Referral,2024040812,53,66,38,123.77,0.72,4.58,0.58,302
Referral,2024040912,53,61,40,93.46,0.75,6.08,0.66,371
Referral,2024041210,53,67,44,68.36,0.83,6.13,0.66,411
Referral,2024041511,53,60,43,100.55,0.81,5.2,0.72,312
Referral,2024041515,53,59,43,297.2,0.81,6.1,0.73,360
Referral,2024042020,53,61,37,103.74,0.7,5.97,0.61,364
Referral,2024042021,53,57,42,106.11,0.79,8.02,0.74,457
Referral,2024042422,53,66,38,95.14,0.72,4.88,0.58,322
Referral,2024042516,53,59,42,114.78,0.79,6.24,0.71,368
Referral,2024042722,53,58,42,81.66,0.79,5.91,0.72,343
Referral,2024042821,53,61,41,81.1,0.77,6.11,0.67,373
Referral,2024043019,53,63,45,51.03,0.85,5.3,0.71,334
Direct,2024040621,52,63,32,72.51,0.62,5.38,0.51,339
Direct,2024040917,52,58,27,52.1,0.52,3.91,0.47,227
Direct,2024040922,52,62,33,70.66,0.63,4.26,0.53,264
Direct,2024041216,52,67,32,40,0.62,4.22,0.48,283
Direct,2024041320,52,57,29,56.63,0.56,4.88,0.51,278
Direct,2024041522,52,68,31,43.47,0.6,4.04,0.46,275
Direct,2024041613,52,56,28,34.38,0.54,3.73,0.5,209
Direct,2024041913,52,68,33,21.06,0.63,3.65,0.49,248
Direct,2024042218,52,64,31,38.36,0.6,4.78,0.48,306
Direct,2024042422,52,68,25,46.6,0.48,3.44,0.37,234
Direct,2024042611,52,67,32,31.78,0.62,3.85,0.48,258
Direct,2024050320,52,68,26,45.19,0.5,4.18,0.38,284
Organic Search,2024040611,52,64,44,41.52,0.85,3.95,0.69,253
Organic Search,2024040809,52,63,33,33.59,0.63,3.68,0.52,232
Organic Search,2024041020,52,70,34,65.36,0.65,3.81,0.49,267
Organic Search,2024041218,52,63,33,30.94,0.63,4.1,0.52,258
Organic Search,2024041417,52,64,42,55.11,0.81,3.95,0.66,253
Organic Search,2024042320,52,63,39,23.41,0.75,3.43,0.62,216
Organic Search,2024042412,52,57,38,49.88,0.73,4.54,0.67,259
Organic Search,2024042820,52,62,37,53.89,0.71,4.69,0.6,291
Organic Search,2024042916,52,58,38,34.34,0.73,3.74,0.66,217
Organic Search,2024043010,52,59,31,38.05,0.6,4.08,0.53,241
Organic Search,2024050310,52,57,39,52.44,0.75,4.68,0.68,267
Organic Social,2024041502,52,58,38,57.03,0.73,5.29,0.66,307
Organic Social,2024041602,52,69,35,114.77,0.67,4.61,0.51,318
Organic Social,2024042202,52,61,31,43.64,0.6,4.49,0.51,274
Organic Social,2024042308,52,59,34,53.86,0.65,5.02,0.58,296
Organic Social,2024050101,52,78,36,50.47,0.69,4.05,0.46,316
Organic Social,2024050208,52,66,33,23.48,0.63,4.08,0.5,269
Organic Social,2024050302,52,63,35,32.32,0.67,4.84,0.56,305
Referral,2024040719,52,57,38,81.04,0.73,6.02,0.67,343
Referral,2024040822,52,64,34,82,0.65,4.58,0.53,293
Referral,2024041013,52,60,39,97.62,0.75,5.82,0.65,349
Referral,2024041114,52,61,36,74.11,0.69,4.28,0.59,261
Referral,2024041212,52,60,44,69.13,0.85,5.23,0.73,314
Referral,2024041216,52,63,42,80.52,0.81,5.56,0.67,350
Referral,2024041815,52,60,35,64.53,0.67,5.25,0.58,315
Referral,2024041820,52,61,31,39.52,0.6,4.38,0.51,267
Referral,2024041916,52,57,44,92.05,0.85,5.11,0.77,291
Referral,2024042221,52,62,40,115.66,0.77,7.37,0.65,457
Referral,2024042222,52,65,40,79.58,0.77,6.03,0.62,392
Referral,2024042314,52,62,42,259.06,0.81,5.65,0.68,350
Referral,2024042318,52,61,44,131.92,0.85,7.15,0.72,436
Referral,2024042411,52,57,47,122.46,0.9,6.79,0.82,387
Referral,2024042523,52,60,39,63,0.75,5.95,0.65,357
Referral,2024042610,52,59,48,70.97,0.92,5.66,0.81,334
Referral,2024042820,52,59,43,98.58,0.83,6.32,0.73,373
Referral,2024042910,52,61,39,99.02,0.75,5.77,0.64,352
Referral,2024050207,52,58,37,100.81,0.71,4.21,0.64,244
Direct,2024041015,51,62,29,26.42,0.57,3.74,0.47,232
Direct,2024041023,51,61,22,45.1,0.43,4.02,0.36,245
Direct,2024041113,51,69,30,67.58,0.59,4.04,0.43,279
Direct,2024041114,51,56,22,66.13,0.43,4.98,0.39,279
Direct,2024041117,51,59,28,68.92,0.55,5.66,0.47,334
Direct,2024041220,51,65,32,49.2,0.63,4.28,0.49,278
Direct,2024041319,51,71,31,35.34,0.61,3.69,0.44,262
Direct,2024041809,51,55,28,35.8,0.55,4.25,0.51,234
Direct,2024041922,51,66,30,50.8,0.59,4.08,0.45,269
Direct,2024042012,51,67,27,60.04,0.53,4.39,0.4,294
Direct,2024042119,51,62,24,43.92,0.47,3.56,0.39,221
Direct,2024042315,51,60,32,45.22,0.63,4.32,0.53,259
Direct,2024042420,51,61,33,63.39,0.65,5.08,0.54,310
Direct,2024042600,51,64,38,58.47,0.75,4.83,0.59,309
Direct,2024042913,51,65,32,50.6,0.63,4.77,0.49,310
Direct,2024050114,51,62,28,46.61,0.55,3.9,0.45,242
Direct,2024050312,51,63,29,13.17,0.57,3.49,0.46,220
Organic Search,2024040614,51,56,40,78.41,0.78,4.39,0.71,246
Organic Search,2024040817,51,55,40,27.38,0.78,4.27,0.73,235
Organic Search,2024040917,51,59,35,28.83,0.69,4.32,0.59,255
Organic Search,2024041315,51,60,35,46.58,0.69,4.33,0.58,260
Organic Search,2024041321,51,60,28,32.97,0.55,3.43,0.47,206
Organic Search,2024041508,51,61,33,25.75,0.65,3.8,0.54,232
Organic Search,2024041909,51,60,36,68.73,0.71,4.05,0.6,243
Organic Search,2024042121,51,57,30,39.07,0.59,3.46,0.53,197
Organic Search,2024042122,51,65,40,44.68,0.78,4.03,0.62,262
Organic Search,2024042318,51,62,33,44.32,0.65,4.44,0.53,275
Organic Search,2024042516,51,58,37,46.91,0.73,4.38,0.64,254
Organic Search,2024042911,51,61,38,48.23,0.75,4.66,0.62,284
Organic Social,2024040909,51,67,37,55.91,0.73,5.12,0.55,343
Organic Social,2024041309,51,73,39,39.56,0.76,4.03,0.53,294
Organic Social,2024041802,51,68,35,58.44,0.69,4.24,0.51,288
Referral,2024040712,51,58,43,63.4,0.84,6.5,0.74,377
Referral,2024040720,51,66,42,103.95,0.82,5.27,0.64,348
Referral,2024040811,51,60,44,87.7,0.86,5.82,0.73,349
Referral,2024040818,51,56,39,61.07,0.76,5.82,0.7,326
Referral,2024041113,51,57,42,71.54,0.82,5.68,0.74,324
Referral,2024041119,51,58,39,71.21,0.76,8.59,0.67,498
Referral,2024041618,51,62,37,52.61,0.73,4.81,0.6,298
Referral,2024041719,51,62,37,51.73,0.73,4.13,0.6,256
Referral,2024041816,51,64,40,93.59,0.78,5.95,0.63,381
Referral,2024041913,51,59,44,62.1,0.86,5.03,0.75,297
Referral,2024042217,51,62,40,63.26,0.78,5.47,0.65,339
Referral,2024042416,51,58,43,87.81,0.84,6.41,0.74,372
Referral,2024042617,51,61,42,77.16,0.82,5.87,0.69,358
Referral,2024042711,51,60,46,103.55,0.9,6.75,0.77,405
Direct,2024040721,50,67,21,33.99,0.42,4.25,0.31,285
Direct,2024041000,50,74,24,40.74,0.48,3.49,0.32,258
Direct,2024041022,50,56,32,42.91,0.64,4.55,0.57,255
Direct,2024041116,50,56,22,69.68,0.44,4.25,0.39,238
Direct,2024041222,50,61,32,20.25,0.64,3.31,0.52,202
Direct,2024041312,50,63,34,46.02,0.68,4.92,0.54,310
Direct,2024041412,50,60,27,27.37,0.54,3.65,0.45,219
Direct,2024041900,50,68,32,89.16,0.64,3.69,0.47,251
Direct,2024042919,50,66,33,211.61,0.66,4.33,0.5,286
Direct,2024050214,50,63,27,127.71,0.54,4.92,0.43,310
Organic Search,2024040923,50,59,31,43.24,0.62,3.86,0.53,228
Organic Search,2024041411,50,55,33,40.49,0.66,3.89,0.6,214
Organic Search,2024041902,50,56,36,24.21,0.72,3.88,0.64,217
Organic Search,2024042016,50,58,40,35.74,0.8,4.29,0.69,249
Organic Search,2024042021,50,58,35,48.81,0.7,5.66,0.6,328
Organic Search,2024042520,50,54,35,58.54,0.7,3.98,0.65,215
Organic Search,2024042720,50,58,36,40.86,0.72,4.05,0.62,235
Organic Search,2024050319,50,61,30,22.54,0.6,3.59,0.49,219
Organic Social,2024041406,50,61,32,16.21,0.64,3.84,0.52,234
Organic Social,2024042323,50,55,32,79.87,0.64,5.91,0.58,325
Organic Social,2024042608,50,65,33,35.08,0.66,4.22,0.51,274
Referral,2024040611,50,55,39,63.24,0.78,6.13,0.71,337
Referral,2024040813,50,55,40,88.18,0.8,6.55,0.73,360
Referral,2024040817,50,55,37,158.18,0.74,5.25,0.67,289
Referral,2024041810,50,60,39,83.53,0.78,6.03,0.65,362
Referral,2024041818,50,61,38,89.84,0.76,5.57,0.62,340
